"Year","Month","Day","Hr1","Hr2","Hr3","Hr4","Hr5","Hr6","Hr7","Hr8","Hr9","Hr10","Hr11","Hr12","Hr13","Hr14","Hr15","Hr16","Hr17","Hr18","Hr19","Hr20","Hr21","Hr22","Hr23","Hr24","Hr25"
"2020","1","1","15417","14891","14506","14226","14211","14404","14789","15135","15476","15945","16280","16675","17147","17331","17429","17569","18263","19149","19052","18766","18344","17726","16786","15799",""
"2020","1","2","15082","14666","14481","14400","14661","15458","16907","18067","18467","18503","18299","18023","17835","18061","18219","18421","19099","19989","19837","19395","18766","17930","16783","15636",""
"2020","1","3","14772","14219","13922","13810","13997","14742","16154","17387","17981","18406","18701","18732","18654","18647","18594","18592","19072","19572","19247","18754","18224","17457","16458","15387",""
"2020","1","4","14600","14026","13701","13538","13563","13860","14432","15192","15930","16713","17238","17504","17514","17439","17306","17357","17894","18489","18396","18040","17735","17225","16491","15696",""
"2020","1","5","14755","14212","14073","13961","13992","14252","14712","15301","15958","16567","16811","16957","17078","17103","17226","17600","18444","19519","19436","19118","18669","17935","16924","15937",""
"2020","1","6","15244","14855","14607","14552","14841","15797","17456","18741","19182","19544","19602","19291","18943","18971","18851","19012","19667","20631","20527","20151","19532","18665","17440","16252",""
"2020","1","7","15400","14958","14739","14719","14979","15940","17625","18904","19197","19170","19076","19016","19014","19013","18949","19187","19898","20609","20501","20105","19513","18594","17382","16242",""
"2020","1","8","15448","15022","14762","14736","14998","15897","17562","18813","19110","19258","19200","19160","19133","19035","19165","19588","20380","21466","21502","21182","20599","19767","18534","17458",""
"2020","1","9","16709","16295","16051","16018","16302","17212","18966","20171","20345","20143","19899","19645","19518","19486","19605","19974","20755","21644","21581","21180","20549","19580","18357","17136",""
"2020","1","10","16242","15717","15366","15222","15401","16222","17752","18948","19246","19504","19651","19625","19329","18989","18807","18801","19239","19774","19433","18897","18287","17572","16594","15544",""
"2020","1","11","14723","14151","13760","13609","13617","13856","14414","15051","15608","16066","16253","16244","16201","16195","16339","16440","16886","17592","17488","17147","16723","16139","15417","14606",""
"2020","1","12","13845","13360","13023","12835","12863","13054","13462","14004","14586","15143","15479","15629","15747","15821","15953","16281","16966","18006","18050","17785","17391","16761","15841","14936",""
"2020","1","13","14334","13987","13831","13833","14150","15172","16929","18182","18488","18803","19013","19070","18985","18924","18842","18944","19463","20064","19875","19473","18838","17966","16836","15731",""
"2020","1","14","14887","14356","14131","14073","14325","15265","16982","18229","18568","18664","18585","18535","18470","18419","18468","18729","19334","20039","19865","19438","18795","17859","16690","15551",""
"2020","1","15","14673","14148","13869","13830","14075","15013","16711","17963","18128","18071","17910","17775","17616","17539","17546","17811","18471","19514","19547","19212","18675","17809","16647","15552",""
"2020","1","16","14740","14278","13983","13894","14171","15088","16774","18072","18365","18578","18463","18513","18483","18557","18723","18944","19607","20605","20630","20298","19816","19002","17927","16903",""
"2020","1","17","16219","15831","15619","15646","16006","17012","18763","20005","20308","20281","20188","20047","19830","19688","19653","19947","20626","21530","21517","21193","20721","20043","19089","18120",""
"2020","1","18","17337","16802","16467","16337","16361","16689","17317","18132","18854","19371","19681","19810","19882","20105","20110","20099","20419","20993","20836","20320","19666","18792","17856","16857",""
"2020","1","19","16093","15501","15162","14955","14906","15084","15526","16053","16634","17052","17307","17582","17716","17685","17751","18093","18676","19679","19736","19447","19053","18487","17745","16951",""
"2020","1","20","16350","15986","15812","15836","16132","16921","18029","19022","19617","19912","19969","19863","19673","19547","19536","19797","20542","21740","21895","21561","20960","20093","18928","17852",""
"2020","1","21","17078","16667","16455","16380","16676","17685","19347","20539","20742","20587","20427","20276","20093","19958","19952","20225","20814","21841","21890","21553","20936","19984","18767","17602",""
"2020","1","22","16792","16313","16084","16015","16307","17259","18944","20125","20281","20058","19812","19475","19104","18942","18910","19170","19856","20969","21089","20733","20209","19313","18112","16988",""
"2020","1","23","16176","15742","15537","15490","15803","16775","18518","19689","19771","19553","19285","19043","18845","18796","18841","19025","19544","20435","20429","20051","19535","18667","17520","16402",""
"2020","1","24","15637","15148","14907","14880","15155","16049","17682","18839","19031","18811","18465","18127","17835","17709","17757","18040","18598","19451","19431","19036","18505","17824","16941","16016",""
"2020","1","25","15254","14707","14404","14281","14327","14638","15271","16051","16894","17588","18068","18276","18341","18227","18103","18088","18214","18643","18594","18219","17713","17129","16378","15583",""
"2020","1","26","14926","14425","14117","13949","13970","14241","14718","15267","15811","16264","16497","16685","16760","16848","16978","17238","17852","18744","18820","18507","18016","17355","16439","15499",""
"2020","1","27","14846","14457","14202","14215","14521","15505","17182","18335","18651","18775","18844","18872","18902","18974","18921","18966","19424","20184","20162","19757","19167","18212","16995","15888",""
"2020","1","28","15107","14653","14371","14343","14600","15569","17283","18472","18808","18920","18821","18744","18768","18822","18893","19105","19612","20399","20421","20070","19492","18576","17382","16223",""
"2020","1","29","15459","15045","14828","14800","15057","16006","17824","18950","19246","19140","18826","18548","18328","18259","18288","18602","19363","20508","20790","20513","20017","19186","18013","16932",""
"2020","1","30","16247","15847","15648","15628","15977","16974","18789","19830","19875","19622","19363","19042","18722","18713","18730","19017","19651","20670","20831","20566","20013","19121","17938","16889",""
"2020","1","31","16070","15619","15344","15263","15504","16381","18011","19097","19436","19535","19444","19324","19189","19120","18990","19026","19353","19948","19859","19391","18831","18106","17193","16193",""
"2020","2","1","15416","14902","14565","14429","14463","14743","15367","16064","16851","17428","17762","17836","17806","17741","17689","17722","18034","18633","18724","18380","17963","17406","16640","15786",""
"2020","2","2","15084","14577","14244","14084","14116","14327","14811","15407","16083","16569","16814","17088","17264","17314","17355","17635","18223","18966","18832","18280","17794","17246","16464","15543",""
"2020","2","3","14818","14355","14118","14048","14318","15245","16925","18174","18549","18630","18428","18126","17811","17609","17547","17717","18249","19182","19495","19143","18579","17733","16595","15548",""
"2020","2","4","14799","14369","14163","14083","14321","15188","16890","18022","18399","18619","18788","18700","18559","18467","18332","18381","18734","19523","19625","19232","18597","17681","16497","15380",""
"2020","2","5","14608","14164","13986","13999","14292","15258","17052","18282","18697","18851","18787","18687","18505","18441","18387","18553","19155","20032","20179","19837","19252","18384","17202","16084",""
